Customer ID,Internal Obligor ID,Obligor Name,City,Country,Industry Code,Internal Risk Rating,Taxpayer ID (TIN),Stock Exchange,Ticker Symbol,CUSIP,Internal Credit Facility ID,Origination Date,Maturity Date,Credit Facility Type,Credit Facility Purpose,Loan Amount,Outstanding Balance,Interest Rate,Collateral Type,Loan Status,Payment Frequency,Currency,Loan Grade,Syndicated Loan Flag,Disposition Flag,Guarantor ID,Guarantor Name,Guarantor Rating,Loan to Value Ratio,Debt Service Coverage Ratio,Total Assets,Total Liabilities,EBITDA,Net Income,Total Revenue,Total Equity,Cash Flow,Interest Coverage Ratio,Loan Default Probability
aa182bee-aa14-477e-be0e-9d1c0fd78741,f05b48d8-dbe1-40fe-93f7-927b760a1f11,"Phillips, Martin and Torres",Danielleport,BS,8317,A,373-55-4532,N/A,rFo,FKHpte,3b531ed9-6ace-4faf-8683-85598b2e2fd2,2024-08-14,2031-02-25,Term Loan,Acquisition,26629895.3,70799498.07,4.53,None,Closed,Annually,EUR,CCC,Yes,Retained,b9f97aa6-8245-46d9-9eea-24fe3d70f8de,Juarez-Jones,D,0.99,1.75,50399385.08,95469736.56,59033485.2,7797067.51,238515115.99,34200502.62,23820711.26,5.48,0.01
2943f6e7-5d27-42e8-88ac-2c9e4776e329,4c78e161-7f3e-4858-8569-63ded30ecb0f,"Armstrong, Griffith and Dickerson",West Justin,AO,3522,E,313-51-2957,LSE,nYQ,UZKcBa,b10f0d6a-b4ad-405c-9a4f-4f02119be381,2022-02-18,2033-10-29,Revolving,Working Capital,55748379.42,2783436.06,9.76,None,Closed,Monthly,EUR,B,Yes,Retained,eef807cf-9d5f-4f5c-91cd-116b1d2c1ef2,Hood-Cruz,B,1.37,2.0,435705344.15,47117668.95,80132376.18,7141931.68,319616292.95,156044133.21,21245173.43,3.1,0.1
a3fdda52-6394-46ce-b7d3-62b965288cda,d8eba8b3-4a74-472c-9c35-5e776788c5b1,"Liu, Weaver and Choi",Kimberlyfort,MD,9984,C,310-37-1725,NASDAQ,vmj,LpWDlN,9f03c0f0-d92d-4245-815c-53bdf1ca667e,2020-06-20,2034-11-21,Bridge Loan,Expansion,97602997.48,80537734.2,2.14,Equipment,Closed,Quarterly,GBP,A,Yes,Disposed,80fa2009-8fb3-48db-a114-3d01e35f4029,Carlson-Cole,B,0.8,2.38,403948022.44,8926425.41,86863480.34,1955854.73,451241665.46,160851816.37,7161645.8,1.06,0.08
2923f9cb-7fbf-401a-aa36-3f2c2ca5364f,d4cf2ac2-82e7-4ebc-b4be-efeecd8605fe,"Luna, Knapp and Powers",Port Nicholas,LK,6392,E,447-80-2607,NASDAQ,HYY,YoVYBg,d101c317-a06e-4a8f-8e63-d921c33b1a59,2023-08-26,2029-11-19,Bridge Loan,Expansion,19714396.46,39263759.32,2.9,Real Estate,Closed,Annually,INR,CCC,Yes,Retained,9b5c021d-a121-4ae0-9675-dcec92ad211f,"Perez, Smith and Davidson",A,1.36,2.9,92416015.06,213720317.55,59098537.91,6667902.48,22780570.2,100793798.84,10891482.19,9.06,0.2
b48b535c-9d7e-4a45-a794-838074cac80f,ba43160f-9404-4e4d-b32a-855e8dfcc560,Clark-Oconnor,South Carolynmouth,JP,2999,A,705-09-9417,NASDAQ,EfQ,tXIESl,202d945b-3f59-4946-a1d0-1be5c8f89198,2024-11-03,2028-12-02,Term Loan,Refinancing,17232454.13,86223792.99,8.9,Equipment,Active,Quarterly,GBP,BB,No,Disposed,f4c91d34-bc75-4713-9c85-fccdad2546a7,Martinez-Burnett,A,0.83,2.52,133472482.22,294279690.55,70419654.54,4335752.01,391850032.42,123734826.91,8270642.73,3.86,0.28
9326117d-4b76-4a29-b0d5-82fbe6b42688,6185f8a7-1161-4807-81be-01d3e12de6e9,Perry Inc,Martinfort,IS,1022,A,395-40-9958,NASDAQ,YUZ,gkvikH,9f25f5ef-eca1-41ed-9093-3fe8c43ec459,2023-08-31,2027-04-26,Revolving,Refinancing,15850912.22,76069643.35,10.18,Real Estate,Closed,Monthly,INR,CCC,No,Disposed,288d2a87-d2f6-4bd5-8f63-56091b8a5e49,"Smith, Lewis and Contreras",B,0.73,2.86,395983982.96,62424518.88,80765395.66,38633214.12,357587093.01,40729410.51,10211446.33,9.37,0.17
4ba2a5ff-856a-478c-af7c-b5584cfee953,3ce9f12c-8d8e-476f-a81a-23db1c0b5213,Martinez Ltd,Michaelview,BA,6197,D,418-76-6498,LSE,hiq,JtrGcv,dd1633d7-0615-4304-964c-4545463a60ee,2021-10-27,2035-01-07,Other,Working Capital,36787659.22,73539555.18,5.12,Equipment,Active,Annually,INR,A,Yes,Retained,df651fd3-6953-4d4f-8c73-bd161afa7b37,"Mendez, Collins and Nguyen",D,1.03,1.22,66196202.67,355967892.95,99485689.37,12237839.84,337813878.55,78824972.5,13252269.4,6.08,0.17
b2d9695b-0934-406d-a1eb-c51d642523d4,dbb5bf9c-975c-4cf1-b493-cec80aa8c9dd,Davenport Inc,Jonesburgh,BE,7922,D,617-78-1101,LSE,jdE,YaJkhL,b2aadd4b-f034-4936-b1bc-0bc077f57756,2023-06-16,2030-02-18,Bridge Loan,Refinancing,98519519.33,83846458.68,6.55,None,Defaulted,Annually,GBP,BB,No,Disposed,1f3c32ae-2419-4b6a-93b5-8078ef799d45,Carey and Sons,B,1.08,1.43,58823388.81,267077344.86,30948149.11,1559826.73,309303560.0,41207930.04,20248808.13,3.24,0.26
c289ddfe-37b0-410b-afb4-baaa58e08236,52a7b687-d225-4232-ae5a-eaaf8b8bad60,"Little, Mckenzie and Peterson",Lake Angelaburgh,ZA,6692,B,386-70-8135,NASDAQ,eig,SLqEDn,65fd3920-b8e5-43d0-8f37-e5f5f4c93c37,2021-02-09,2033-02-01,Revolving,Working Capital,42032473.96,29561853.99,1.8,Inventory,Active,Quarterly,USD,AAA,Yes,Disposed,321b887d-cc20-413f-92eb-8908faa64961,"Ross, Sawyer and Yates",C,0.73,2.94,96668915.05,111763464.72,60854764.52,39425051.06,98905179.06,130101544.23,26070243.6,9.56,0.05
d9f82cb1-cb26-46c9-9a31-7875f75ffaaf,506db0c0-2dd2-4be7-830d-6fe28eb42310,"Watkins, Norman and Wilson",Port Patriciamouth,GA,9683,D,574-27-8910,N/A,zBu,TDevaN,793c4fa8-b710-42aa-9939-e7f3aa630ec9,2022-10-12,2034-12-11,Revolving,Working Capital,52123619.63,9059732.43,14.5,Inventory,Defaulted,Quarterly,INR,CCC,No,Disposed,acbb5892-6a51-4bb8-b41b-ae0e7dfee669,Davis PLC,D,1.23,1.38,99932314.88,197384284.93,88395987.16,5260089.67,79766751.74,14664603.47,12203249.8,6.11,0.03
50b33fce-30f7-47a8-b3d2-12c39ab7ff1c,43afd455-5bec-4ba2-977f-5677458707bb,Byrd-Hodges,West Tanya,VA,2421,E,699-24-7781,NYSE,kVM,LllCpq,6b75d2cf-7113-4f01-a75c-9a5d5f9d2e07,2020-01-21,2033-12-22,Bridge Loan,Expansion,82096473.86,83378103.18,13.53,Real Estate,Defaulted,Annually,INR,BB,Yes,Disposed,8f348997-a08c-4233-9f04-b07a4494dc04,Ross-Thomas,E,0.89,2.88,198348339.23,284765521.38,71704332.27,1381292.81,131470163.08,96790520.21,12234012.19,8.49,0.18
b8640ba7-75c0-48ca-9876-9b58ac6f7235,0081be7b-df66-4a69-8ce8-a747fdc8a430,Hawkins Ltd,Phambury,TM,1221,B,503-44-6613,NYSE,Yey,nsVPYr,9c3be671-a5b0-4f21-bb16-84af86dea57d,2024-09-12,2032-02-25,Other,Expansion,53847536.43,25255889.98,3.22,None,Defaulted,Monthly,EUR,CCC,Yes,Disposed,85b8abc9-9f10-430f-b001-e9affcd0332b,"Callahan, Carter and Elliott",B,0.77,1.22,177709276.02,331093433.54,58787046.25,15052586.46,63204617.14,24353969.54,20559600.93,6.34,0.07
9d3fa733-4ff2-47dd-9fc0-05d44370c201,fa1239b6-2b29-41ba-817e-0e145f10262e,Jones PLC,South Julie,BJ,8362,B,562-91-3022,NYSE,VaX,MLchEI,45dc03ff-a368-40bd-8a6e-e07a4f4794fd,2024-02-11,2026-11-16,Revolving,Expansion,60981465.14,54628642.2,11.36,None,Active,Quarterly,EUR,BBB,No,Retained,0642af5a-9f62-4700-8cc5-df93c52fe097,"Jones, Mason and Rodgers",B,1.4,2.84,297192589.82,42870636.83,18868041.72,19796535.81,298993701.96,137332785.43,7815369.27,3.58,0.03
01999876-7330-430b-a459-67f8953d51e9,677791b8-cf16-4980-bb1d-9bbaa170360d,"Ford, Dawson and Young",Jenniferbury,HN,9541,D,645-82-9170,NYSE,BNM,gbXyZz,cc7f9904-9e02-4d96-9a70-5d55e6585d23,2020-10-01,2029-10-24,Other,Expansion,25102100.43,29227281.02,13.27,Equipment,Defaulted,Quarterly,EUR,BB,No,Disposed,d1df7ebe-b960-4523-a1fe-53229576c757,"Rowe, Silva and Ortiz",A,1.22,2.4,141634304.12,344287641.83,56209877.23,10011525.13,206116204.76,116395789.44,23439783.14,1.16,0.27
596027a0-8e37-47ec-a02d-9dd35e64dd27,b1d3f755-935a-4c38-9045-d495adb63538,Martinez Inc,New Dominiquehaven,LC,8585,D,592-76-4089,N/A,CTd,YiwOZz,2d94ab04-09a7-4f84-88c0-0a34b28b8fbb,2023-06-26,2031-01-27,Bridge Loan,Working Capital,72009105.76,28494608.35,11.71,Equipment,Closed,Monthly,USD,BB,No,Disposed,454c9d4f-3175-49c4-b330-c045a7e9a843,"Browning, Davis and Bates",C,1.1,2.22,141690364.73,116051930.73,73977337.93,4210508.57,450459063.15,124112433.64,1497518.09,4.51,0.25
3fe3a345-cac2-447d-8b69-2337869a45cb,88fd8f84-c3fd-491d-bbde-2de563304dde,Whitaker-Kane,Heidifort,HT,7611,C,739-02-7462,N/A,uCq,iEYELh,4456e9b9-7040-4f26-bcd5-fe04ca149eff,2022-08-30,2034-12-12,Other,Working Capital,58923766.19,13425902.87,5.54,None,Active,Quarterly,USD,B,No,Disposed,5fb35777-282d-4056-a811-1bf13b2ce23b,"Sutton, Harris and Williams",A,1.41,1.89,190598251.49,89532897.07,83962651.95,5618370.85,431072752.27,140243059.07,19395932.03,5.66,0.04
1b207a3a-33d4-4149-a0fd-d4c9a64a41c1,2f1b3ba5-abce-4dc4-9019-1ff807630916,Cox-Anderson,West Charlottechester,NZ,8910,C,194-38-7822,NASDAQ,DzI,uxBcAI,85df0374-6c25-4d94-8ea3-d1dbf3ea93aa,2023-01-19,2030-01-15,Term Loan,Refinancing,4461574.46,46607558.52,11.37,Real Estate,Active,Monthly,GBP,BB,Yes,Retained,b2005897-55ac-4bc3-9aa0-1841587a268b,"Gonzalez, Marquez and Cunningham",C,0.59,2.34,317878463.61,32813677.44,38567447.54,4659131.08,450490976.39,26150694.41,12394628.82,1.13,0.11
379fdd7a-28d6-4619-bb3c-226bda8f7311,80119b5c-5f4e-4b0a-8516-2e6f71ec2926,"Richard, Roberts and Sanders",North James,BD,1279,B,806-47-4564,NASDAQ,vmY,jIpEgR,e1d8b6d0-7e56-4eb1-9412-3af4cdca58ed,2022-06-03,2034-10-06,Bridge Loan,Expansion,29277445.28,59000102.66,2.7,Real Estate,Defaulted,Annually,INR,B,No,Disposed,fda0dd3b-9091-4bd6-9de2-a68d19d6bd31,Hood-Gray,E,1.17,2.09,90005750.47,93065671.32,75522643.77,37481146.49,13476741.43,16434131.69,8346490.12,3.97,0.29
0a770e51-236f-434a-bcbf-cb9dbc58339e,ea759aef-7d4d-4f37-801e-02e9fd0d2601,Ryan-Perez,Shawnside,TN,1980,B,747-96-6744,N/A,lpa,VbbVtf,64b3646a-7900-4cba-8d86-dc95dab59a27,2022-04-17,2031-01-29,Other,Working Capital,99118960.83,79844255.72,8.83,Inventory,Closed,Quarterly,EUR,A,Yes,Disposed,b4aa0b22-b5a8-4a75-8e80-63232f6d2200,Smith and Sons,C,1.36,1.72,214302232.71,12984529.76,96949604.06,27132196.04,287529297.97,81652974.02,21049490.13,4.12,0.03
97dd0207-640a-47b7-878f-be0563aa5141,9e22b5a8-cda1-4125-b44a-417a3418a07c,Fritz-Clark,Bradleyport,GN,6038,D,770-24-8246,NASDAQ,YkS,LSFlBW,8b00f14f-5258-4108-8cfc-ff9239395c96,2022-09-20,2032-10-14,Term Loan,Refinancing,9312784.9,29441513.13,2.92,Real Estate,Active,Monthly,EUR,B,Yes,Disposed,df116f63-fd82-4aaa-b8fb-bca594926107,Barrett-Vargas,D,1.09,2.87,112276922.29,301315598.5,29157403.01,618846.22,19353690.53,85606740.54,18253363.73,9.6,0.22
